,A
0,/places/city-hall-station
1,/places/highgate-cemetery
2,/places/leadenhall-market
3,/places/wave-organ
4,/places/catacombes-de-paris
5,/places/evolution-store
6,/places/magowans-infinite-mirror-maze
7,/places/underground-tunnels-los-angeles
8,/places/secret-tiled-staircase
9,/places/dream-house
10,/places/the-museum-of-death-los-angeles-california
11,/places/last-bookstore
12,/places/gods-own-junkyard
13,/places/echo-park-time-travel-mart
14,/places/the-ruins-of-st-dunstan-in-the-east-london-england
15,/places/fingal-s-cave
16,/places/wave-rock
17,/places/winchester-mystery-house
18,/places/roosevelt-island-smallpox-hospital-ruins
19,/places/eastern-state-penitentiary
20,/places/mutter-museum
21,/places/fly-ranch-geyser
22,/places/antelope-canyon
23,/places/the-elevated-acre-new-york-new-york
24,/places/thor-s-well
25,/places/seward-street-slides
26,/places/mmuseumm-2
27,/places/ghibli-museum
28,/places/spreepark
29,/places/twinings-tea-shop
30,/places/the-witches-castle-portland-oregon
31,/places/mount-moriah-cemetery
32,/places/new-orleans-historic-voodoo-museum
33,/places/neon-boneyard
34,/places/museum-vampires
35,/places/wisteria-tunnel
36,/places/explorers-club-headquarters
37,/places/mapparium
38,/places/house-of-eternal-return
39,/places/sagano-bamboo-forest
40,/places/the-viktor-wynd-museum-of-curiosities-fine-art-natural-history-london-england
41,/places/akhob
42,/places/paint-mines-interpretive-park
43,/places/puzzlewood
44,/places/hamilton-pool
45,/places/fairy-pools
46,/places/six-flags-abandoned-amusement-park
47,/places/5-beekman-street
48,/places/rakotzbrucke-devils-bridge
49,/places/havasupai-falls
50,/places/the-lexington-candy-shop-new-york-new-york
51,/places/horseshoe-bend
52,/places/cat-island
53,/places/the-hardy-tree-london-england
54,/places/sunken-city
55,/places/electric-ladyland-the-museum-of-fluorescent-art
56,/places/alcatraz-island
57,/places/yayoi-kusama-firefly-infinity-mirror-room
58,/places/pere-lachaise-cemetery
59,/places/witch-house-salem
60,/places/dry-tortugas
61,/places/please-don-t-tell
62,/places/bradbury-building
63,/places/albion-castle
64,/places/griffith-observatory-s-tesla-coil
65,/places/the-museum-of-alchemists-and-magicians-of-old-prague-prague-czechia
66,/places/house-rock
67,/places/fairy-glen
68,/places/mysterious-bookshop
69,/places/track-61
70,/places/hanging-lake-waterfall
71,/places/the-seaglass-carousel-new-york-new-york
72,/places/berliner-unterwelten-subterranean-berlin
73,/places/old-zoo-picnic-area
74,/places/fremont-troll
75,/places/ghostbusters-firehouse
76,/places/philadelphias-magic-gardens
77,/places/fireflies-of-the-great-smoky-mountains
78,/places/bronson-cave
79,/places/museum-of-death-new-orleans
80,/places/petite-ceinture
81,/places/santa-maria-della-concezione
82,/places/new-york-s-hidden-tropical-forest
83,/places/platform-9-3-4
84,/places/peephole-cinema
