Unnamed: 0,Unnamed: 0.2,Term_id
first,0,9110263996235776211
new,1,-1224948710804975835
york,2,5719766983168691657
citi,3,7711874059208919467
subway,4,8172346451532458297
built,5,4175752359204454676
oper,6,7004103532194332447
interborough,7,8792429467367163301
rapid,8,-2767942516131175437
transit,9,5802352808495341933
compani,10,-7761948041688578175
irt,11,8720904862375464652
open,12,-8860699703705034458
octob,13,-6303906502435345228
27,14,7739014881119813899
1904,15,1737517557528063638
joy,16,5142369502332046210
elev,17,-5035953310789968822
train,18,-2082866941075874083
streetcar,19,-4998888492079933771
rider,20,-8661841577593064382
hall,21,8225209342716920903
station,22,-1128020583644961013
local,23,1101459694469119463
track,24,-802863245583843575
lavish,25,-977185369389890394
fine,26,6736192207846956002
architectur,27,-5719687066136091978
detail,28,-3533980922447145897
includ,29,-755698187259174507
glass,30,-1745748224807849370
tile,31,3260129411693609332
larg,32,2662928382129312366
chandeli,33,380223508701250654
howev,34,8160001583366834917
gustavino,35,6409467134499627490
vault,36,-3612767054678069757
ceil,37,4855996289288551204
skylight,38,2242258404054701189
lost,39,-3365891229361785904
busi,40,-9218041573075289820
commut,41,372383962228550803
stop,42,-1518522331064725069
one,43,-7102202200788830471
leastus,44,7390000891931757866
system,45,-2924641708440220196
turnstil,46,-4021781412818394361
instal,47,7851521743119283336
1923,48,4343172457648878119
nearbi,49,-5423683144704747791
brooklyn,50,8417544489588134993
bridg,51,2546009308357099508
frequent,52,2060751364042244250
express,53,-1711689780664438530
closer,54,-1773025764110009165
connect,55,5533613541069616282
curv,56,-7343769540331360112
platform,57,-834522269418751408
car,58,-6992690981210646912
center,59,-7656876189564380553
door,60,-3646947707001188101
could,61,616155156606803034
use,62,1014398158863850059
unless,63,-5561971152914731138
special,64,-3111184269078172349
modifi,65,2858405738260144949
control,66,1419724565273151444
allow,67,2123233903793856924
end,68,2215371985334429587
1945,69,-12376132499406864
close,70,-5435482712686659630
along,71,5858356864641609191
line,72,3143420934923412159
lengthen,73,6554038318346603557
accommod,74,-5693109465084911264
longer,75,-2133894721165549468
number,76,221819806811641062
passeng,77,4987267248178267838
dwindl,78,-2223519863657373162
anoth,79,3844651086865176236
factor,80,-6934356306872116632
lead,81,6383248632482660447
declin,82,-6330971042165929576
’,83,-8863881311158388907
fact,84,5721004901197786451
person,85,12506946705543422
board,86,-2677788478458336025
intend,87,-5288768017847701607
destin,88,8350487076476638817
would,89,3053003471324454053
wind,90,2919152676741421804
uptown,91,390872914573939731
go,92,-4074207053218274687
upstair,93,3847420630525092720
downtown,94,7147568143744574690
continu,95,7885258862546154125
journey,96,-5587370365639986730
much,97,6264046738137071377
easier,98,308313060634282386
walk,99,-1667598924479537911
short,100,-5816333552482169840
distanc,101,6799303618057132281
street,102,-6515681538418517790
level,103,-8727832703650020879
late,104,-6439584921920874019
1990,105,4527157847650079520
lexington,106,7348044105257830590
avenu,107,628413084726559346
today,108,-3915105374859090985
6,109,-8299056384017848508
disembark,110,-1947983121744444462
case,111,-6780379251481010128
reopen,112,-2378480740473040078
light,113,-1450656192759354322
turn,114,2300307999124465980
back,115,-7761653907792109530
get,116,-2951884268425119974
experi,117,-7590545271462038918
might,118,9003744720553824268
stay,119,-3235629389926909346
loop,120,-3823613170772043489
around,121,-4660139674753125724
head,122,-5621413894297695706
north,123,-4242847385359400720
museum,124,-4721607999004545449
host,125,9170187897857142986
period,126,6396643143624106605
tour,127,-4470406730514720244
abandon,128,4699204212545182683
must,129,9178398609466050034
member,130,-6062941657725119615
attend,131,-7431736768890996867
check,132,-1492839555644183213
websit,133,-8114903489566180668
1839,134,5409189237803909900
highgat,135,2108505730988811314
london,136,-143466501757658457
infam,137,-5367245211036254795
cemeteri,138,-1368128622549488407
origin,139,-8805271576849978245
“,140,-4008503450029950743
magnific,141,7581991295555689328
seven,142,3857757395759937501
”,143,-8717684830183239297
park,144,1800521745972538704
initi,145,-7724481004540760188
design,146,7648344344091487230
carri,147,7176880594612405180
architect,148,3038994908468510463
stephen,149,-9198285160132063884
geari,150,7445488188251590089
among,151,-1116245426465549919
impress,152,5683273012288114674
victorian,153,5081925774045059378
egyptian,154,-5877324043266979867
influenc,155,-4418317768841963723
tomb,156,227245800715443146
graveston,157,-7284757621626865952
karl,158,-8042226977483842636
marx,159,9179631883540971170
recogniz,160,1609484958525672558
glower,161,-8155532880846518422
beard,162,-8803056469838373241
bust,163,3023927959269204338
scifi,164,8456573325775593258
author,165,-3350176894414219663
dougla,166,-1671944434298477896
adam,167,6648538742298524669
jame,168,-3311978102966461145
holman,169,3493760439544875932
sightless,170,-1184919567174776351
19thcenturi,171,-702793173094320517
adventur,172,-1441254700904742754
known,173,1818451394804892741
blind,174,-7773268702940563829
travel,175,-2661721226783084619
pioneer,176,-7779832634589146989
human,177,-8350031981944423447
echoloc,178,2859631010085114275
abl,179,8435417944023127375
sens,180,5556513958823742147
surround,181,-4290751349223365311
reverber,182,2608143343258128807
tap,183,-5651096194351037978
cane,184,6302012169737859518
hors,185,-8624179944625265827
hoofbeat,186,8986475615663742715
worth,187,1124929328219297791
famou,188,8669464254341292716
crimin,189,792904813565211656
possibl,190,3057685460359316132
inspir,191,-3978824009985824778
sherlock,192,3712453774873163675
holm,193,7783651542359992869
nemesi,194,-7538019796525120526
professor,195,-5774194064850997644
moriarti,196,-7724565885328970936
compris,197,-3245276647249719150
kensal,198,-6559876210849157729
green,199,-7574398446208412073
west,200,3491465772263792484
norwood,201,-4154069823988492041
abney,202,-2121559381376876081
nunhead,203,-14715211607622592
brompton,204,3425869432739295736
tower,205,-903258758838655464
hamlet,206,-2318412066682193364
creat,207,3798813985822133969
1832,208,-2797073002299898180
part,209,6612715223665201988
effort,210,-3226932973943542211
move,211,-6407612096147162712
burial,212,-4730223610245420636
respons,213,2547123337743709815
twin,214,-6383076590104668636
pressur,215,1602365750110893350
health,216,-7315897799270696606
concern,217,9059778183499690159
overcrowd,218,2966406361907076457
churchyard,219,2956965301000139796
desir,220,-5414307365064524211
buildabl,221,79261075048951141
land,222,251639984286465250
rapidli,223,-6198937030140011587
expand,224,-2368732847578681811
build,225,-8493320944432115439
construct,226,-5625959597676354255
impos,227,3634590929692367606
gothic,228,88143165320316450
style,229,-1226414482861947381
mid,230,1326244636809021327
1800,231,-932530742683173675
highli,232,589552211464158313
soughtaft,233,-6960379644297800555
ground,234,2916062014732126392
wwii,235,-2451459957725443961
overgrown,236,1601410125950582095
unattend,237,-1922265805465889813
seriou,238,640662404902045904
disrepair,239,7930601300045660779
ad,240,2710646115685555134
creepi,241,-4195443880450280900
feel,242,-7021282887250837454
1970,243,-1304748544023920743
becam,244,-8920557990411381159
locat,245,-8184238825438506005
english,246,8700700603192166558
tradit,247,5748340510930044890
horror,248,-1333003272367334629
film,249,-606200540161873161
movi,250,-7700290578936639661
studio,251,-3076805758409170391
hammer,252,-183405593065934032
regener,253,-4440952918784503900
public,254,7525831073747191508
interest,255,7398991361246722764
stori,256,302704051313756339
grave,257,4139124389686218259
rob,258,-1244279199452629801
desecr,259,6603003406022215653
vampir,260,8140891414131930768
began,261,-8630550934842349572
appear,262,-5630641846805099519
news,263,-4919559265728160874
describ,264,-1708412503280123126
book,265,856618185611729556
beyond,266,-2090956709604877859
mani,267,6438989610844095195
claim,268,-3386298004008429148
see,269,-6765773992608057245
particular,270,4772459452590921890
creatur,271,3464598619046337760
hover,272,8178870523031632500
score,273,6249637342660360109
‘,274,-4442833456680907508
hunter,275,-5872863035378881240
regularli,276,1522735165367840528
converg,277,4921870532800672769
graveyard,278,8728199109943851164
dead,279,-2677714097447721526
night,280,6846021270530443877
broken,281,3264249688551809491
bodi,282,1705553800732108645
mutil,283,3478184408028552606
wooden,284,-6842508418790662753
stake,285,7554521954967449026
driven,286,8805865238207237125
chest,287,-947840137840447411
stolen,288,2139482501601046915
corps,289,-3654088908634744391
strang,290,-3261474112080115331
place,291,-364421386259177576
startl,292,-4817947056784930382
resid,293,2319476868155198362
horrifi,294,-4800426827787334591
neighbor,295,-2727567712295654477
discov,296,1874052326816085268
headless,297,3990067545190815972
prop,298,1023871870298444571
behind,299,-3700699692122195181
steer,300,2786115300243810703
wheel,301,-4501090019964335027
morn,302,-2763026853572426440
sensat,303,-3837780169083881590
culmin,304,-2881381047190850159
two,305,-6727009888671724445
magician,306,3346488187189528886
farrant,307,9199725839524594708
manchest,308,3048527845637848955
find,309,-8291200139504598407
kill,310,3923197732500984539
suppos,311,5675273691966019513
announc,312,-455527863555425869
offici,313,-4956689235557389312
hunt,314,-6791938747352268313
friday,315,3838101372233418250
13th,316,-8970761340258933602
mob,317,-8837502441003580907
swarm,318,6305108501748150201
gate,319,-2639954988551767672
wall,320,3302050683461232500
lock,321,-7612172292492832937
despit,322,3108315890251562740
polic,323,-5586242911866372972
settl,324,1781098169752097120
debat,325,4220866477334474384
duel,326,3617299621446066555
never,327,-3696160436539909430
happen,328,7481966488606519003
arrest,329,-6236004826753841907
next,330,1624994931686581890
crucifix,331,7482437319046471287
1974,332,-72883261384781275
jail,333,4370153535992910409
damag,334,-2042857487674656366
memori,335,2822393697468499080
interf,336,1881561556668735841
remain,337,-9088216978398889545
though,338,-3847425286837925777
neither,339,-8682839055639246758
found,340,-268761724973795842
variou,341,-3614431472958451040
ransack,342,-5385171761762615675
real,343,2684012310714901465
inde,344,1062482988981620629
behead,345,8790153881617201858
day,346,-4937887560292524840
popular,347,357698340584038825
occult,348,-3245574868566653332
paranorm,349,-7336024757966450396
enthusiast,350,-5939207159614398063
ornat,351,7924432628787913889
paint,352,5650140766360875628
roof,353,-315920699919121084
cobbl,354,3341572955459732863
floor,355,2167040066477355659
leadenhal,356,217164366880615070
market,357,-6128642296875122206
histor,358,6051405797117714184
financi,359,2958340349841832004
district,360,1687721553133952577
make,361,-8675936962193606960
rather,362,1702163692843063164
magic,363,-8042553772107917470
bit,364,6531462167854551145
shopping—even,365,8453876629318625665
play,366,-3776668710318675791
star,367,-990345602867930558
role,368,-238868290583276432
harri,369,3903291781290214922
potter,370,6271802749970462052
cover,371,6863805254735043195
oldest,372,-5789366070162365677
sell,373,3906353943206709490
meat,374,6094435119710202963
fish,375,-7174520917049039011
far,376,5063859662262715311
14th,377,-5260851062243684141
centuri,378,1237992415387412032
current,379,-342688142903779460
red,380,1753751058067202272
1881,381,-2806160542699098282
made,382,2238085340475733144
attract,383,-6237523373225737094
marketplac,384,-8446205315318280214
featur,385,2001003226697355303
time,386,-1076446098177770716
series—it,387,1800707205702499818
exterior,388,8192862084940443046
shot,389,8281014456179633591
diagon,390,-5498947125407090965
alley,391,4092735182091073110
cobbleston,392,1477423683432615497
shop,393,499916175646485122
hub,394,-7713634900150738891
wizard,395,-5918026070014875276
world,396,-3222934165112833716
hogwart,397,-691089573433822727
student,398,7069112054584735732
stock,399,540423794662981216
school,400,-4005881953088628085
suppli,401,8472411904809475923
like,402,6955660969024432147
spellbook,403,4119670380640216496
wand,404,-2074252966817551661
wander,405,9004081830319938749
bull,406,4221671573133805679
passag,407,4184154195532684537
may,408,6361267707846078175
recogn,409,4797765275816017506
blue,410,1228926792795713551
optic,411,-7518372148556221767
empti,412,-1438017252596479942
storefront,413,180479989703225171
shoot,414,-5763818867347006476
entranc,415,4570571918242025213
leaki,416,-2090524094413603261
cauldron,417,-923501161729301158
goblet,418,3453712201704310421
fire,419,5726696735059604210
access,420,-1473836588663045262
witch,421,2020504026683542514
unassum,422,-5735219042235090559
pub,423,2169981482562850527
wedg,424,-2089013565320257690
record,425,-1459347701286140811
store,426,4127114493099142520
true,427,-4582872583563338633
us,428,6198052227854352548
muggl,429,-6098770395492070251
jetti,430,-4214796421574850304
san,431,-5643918605422035043
francisco,432,3705069046880694020
bay,433,-2152191434577144006
wave,434,-5920871932826986577
organ,435,871997721786528496
1986,436,-6753854338622262180
collabor,437,6398977809386436708
exploratorium,438,6362641732327743632
artist,439,-4188203902972776283
peter,440,6168162260695253943
richard,441,-4442124119066808717
acoust,442,-7404447095976798087
sculptur,443,4919650940516274449
