,term_hashkey
first,-7165125546970577434
new,-77033085036089818
york,4204630629893213509
citi,1325781193330695663
subway,3196231265570269517
built,-7062487296419193610
oper,-684919539679076502
interborough,5225387237460724323
rapid,900074437649539702
transit,-796957805958222555
compani,8810117077584602562
irt,-6803723149526983589
open,9120866911707249569
octob,-5244188129217751128
27,-2529170879966724911
1904,3864382538757377258
joy,2206156352686547860
elev,486909615522112370
train,-1944165660756463471
streetcar,-6256925955165807000
rider,-6839899652753193486
hall,3561228771302798896
station,-7004997119326658725
local,-6481981879523083512
track,-3344302596010631972
lavish,5872639005069242544
fine,-4801121970099654888
architectur,3677492700466409525
detail,-2156104588412603594
includ,6148519999423696444
glass,4840716567740081356
tile,3570801957163076176
larg,5974446934585516506
chandeli,5286252039552217686
howev,6347358309144826052
gustavino,776074573759677788
vault,73787441151207294
ceil,-5763934140942923494
skylight,-9150557573071169195
lost,-2879306865583317140
busi,1128969312489968995
commut,-8692080427587399643
stop,-1746445191671045981
one,8711157521968528472
leastus,3128356988734791091
system,7784624111622429572
turnstil,8267090457887410419
instal,-1113150909904895794
1923,503975860358967324
nearbi,-7271791544629409093
brooklyn,-7598983525233587979
bridg,1380500982286638862
frequent,-5914375653537861252
express,-872229531814272771
closer,1017173164434826767
connect,-1365514531758085589
curv,-8664671455033463546
platform,-6108145254817358702
car,-6902114211037934839
center,-8551368148899316702
door,-6885568851405112290
could,3629209885410160084
use,7625742276980516673
unless,-6901838920532285035
special,6265907327123549934
modifi,6794648316323842142
control,7695087856942097209
allow,-376946251849201042
end,126787061514264060
1945,9114128781806667832
close,-6198420647982711612
along,4401315238397267478
line,7170492128864389804
lengthen,-5782528304100708291
accommod,3578623203259579636
longer,7838436770184147192
number,8274828608826136067
passeng,4642630927549935901
dwindl,-5045152443425889910
anoth,-5134331426313637274
factor,-329730529647256271
lead,5647338747688593072
declin,-2554606828580666347
’,4877455912402978793
fact,-158369582266271299
person,4316358385496504729
board,5441117235039864793
intend,-6604544209803725943
destin,9142465842065677763
would,7725577395171308077
wind,7003729148181503535
uptown,-456628413893439765
go,2718188555057885463
upstair,-6465116556180814387
downtown,-3176901894418402561
continu,396106103670740635
journey,6748647911299095419
much,6282386616183605519
easier,-7896556221779974671
walk,-2504562212579521221
short,-6393699858938980042
distanc,284045038406625918
street,4824260810804091332
level,7786035384710895096
late,-582779958931779619
1990,-6935756738756982586
lexington,5243610266171392881
avenu,574223825144366215
today,-1055682337989398801
6,5526676448093345087
disembark,-132603392469670577
case,-8616105373074525057
reopen,4561645171977748181
light,-1390905535645256535
turn,-2431478671418636442
back,-3344189417663229663
get,-1499097640362382488
experi,-4156840469622747217
might,-6685687934100705385
stay,-1386132554832657331
loop,-3074164890222948358
around,8834992805342650800
head,-1467722464452852496
north,-8497733533492706473
museum,-7062299882369123446
host,7432437698989876550
period,6371105589161737319
tour,1854707721541043497
abandon,8895844537980881743
must,4859705774179031533
member,-6840055911671892942
attend,-5148813411471493311
check,-2723958304346864657
websit,9206859529438785353
1839,2437813862347132198
highgat,7481216708307946197
london,6140118542400700197
infam,4343381627396988840
cemeteri,2565255850618239909
origin,4524254260018977094
“,-689233651559471143
magnific,-185070926594041592
seven,-3253791426530894975
”,6655446247501423909
park,-834318000616284265
initi,-8099823885195019203
design,-7105110810343835489
carri,-7046123612075017251
architect,-5293419970132088270
stephen,8388054697997883264
geari,3309888377413050517
among,4177469944210752464
impress,-4222757513759211633
victorian,2180679452971999564
egyptian,8030782759412287056
influenc,-7629057250190847932
tomb,8009224409499561570
graveston,-929058075992995490
karl,-7013039315443156781
marx,1534531690333702331
recogniz,2647471463361618017
glower,3416718297357268201
beard,8162224438716663342
bust,-5108691732788082648
scifi,-1482236922015307199
author,7521453887473275773
dougla,6095306886534576350
adam,-7757514918314027063
jame,-5185651105085177692
holman,-1634956320096378658
sightless,-7606857197864865822
19thcenturi,-9190009374680761076
adventur,6436114865195798378
known,-6911725745626098812
blind,-1196380664759759456
travel,-3320006665959980935
pioneer,-3596459373559864586
human,-2426558154013350597
echoloc,8884350725520672576
abl,2647685748709484777
sens,3315056202650520384
surround,-4802551764050538472
reverber,-5656341225627911548
tap,-7321819952639269799
cane,-8474452579615696130
hors,6115901836692845018
hoofbeat,-3129254674653179411
worth,-7608318948373978907
famou,8084510951700755268
crimin,-268902063897437543
possibl,-1004778179890080920
inspir,-177792501217241328
sherlock,6820222072852744291
holm,-9130979981266404682
nemesi,-460731568554016190
professor,5025359885764641413
moriarti,1695697230963240072
compris,-5665732836248451798
kensal,-1269553447807546007
green,3518981109436634321
west,1777504476252409268
norwood,-697343006936872110
abney,-3289283464678256460
nunhead,-2985859106516850848
brompton,-3933837954442081258
tower,2580497339252590298
hamlet,8036011633894537824
creat,2141834101849580576
1832,990999696219821073
part,7763656866198373400
effort,1956020517977190553
move,9056846454294373777
burial,-7610724960840766304
respons,8840407122225152119
twin,4683971782756226974
pressur,-2591537769527156129
health,5376906511902150278
concern,8225685957407005426
overcrowd,-4731565820810266274
churchyard,2121418424691239453
desir,-1593069261684028287
buildabl,1385049219516398422
land,5676822573520302337
rapidli,-8794500979077309784
expand,6728511222915383987
build,-6908909237774641927
construct,-5212248215178035476
impos,-3304158826699133827
gothic,-8676662078689453827
style,6183009437474904349
mid,-910701967212341955
1800,-338551463448055926
highli,1531768128817630798
soughtaft,2855180514687410822
ground,-3881559983285626484
wwii,-13707307292976628
overgrown,5424340900356723827
unattend,2890842070012340705
seriou,-6747779719797288306
disrepair,-4908178449265068322
ad,750049206533094581
creepi,3634760559195121806
feel,6594399394675127086
1970,-874836829362964666
becam,-3949755209600817994
locat,3346911850206766343
english,2915213671963491243
tradit,-6014388359203958535
horror,-7987059635043085860
film,9026637413322629925
movi,-8577780298687502372
studio,8921684167577119780
hammer,794254942209720897
regener,4600552620345454845
public,-4254662245001135538
interest,8886725232853579114
stori,4258512785291790047
grave,521048811858653160
rob,-3647785028739589322
desecr,-6223620431572592905
vampir,9116053518473678053
began,-2724300616851986741
appear,5062518243946264582
news,-6441029663490049570
describ,9207778340300125512
book,-8404131192479242210
beyond,7775975760351424534
mani,-7123407727998795786
claim,-4862378733862389592
see,-5836971265552935491
particular,-7457670087873871889
creatur,-8747927881045536744
hover,2120091981118185479
score,-6309316739199281500
‘,7849175347561768683
hunter,3867302186450968993
regularli,3007997490991767978
converg,650214553999863636
graveyard,-4107300079655183194
dead,-7974709117183373591
night,-4544157351033246549
broken,5236848443136829174
bodi,7226854010219513520
mutil,3733615999560429268
wooden,1389438200735231598
stake,5528031836876795817
driven,-2251320026281072849
chest,-3675646199267962373
stolen,882501161803169504
corps,-18027901572430934
strang,8652382513818931494
place,-211905163527663034
startl,-2570589367452158266
resid,-9172889454213491855
horrifi,3394362779798887226
neighbor,719930950044651106
discov,-2605644621010785555
headless,-6932616035000485683
prop,5940259027894495004
behind,6979013463866741878
steer,194317610122064833
wheel,6510024125799251320
morn,-158108099179895800
sensat,-6328720569496132463
culmin,-5074293834823030163
two,4889092244124017840
magician,-7044060809604916714
farrant,5388037375859188398
manchest,2762218419194194214
find,4644490856451496733
kill,7110240080800117676
suppos,603888724128043398
announc,2762584135699455441
offici,3311796435810115797
hunt,4377797727519732563
friday,531345001590205991
13th,-9155307830908197588
mob,-5307462391351169337
swarm,600819203784257066
gate,-7407524791501586841
wall,-2674050927637284959
lock,-934343683154838782
despit,3713975667308338014
polic,8148165758229922445
settl,-3573409723826405082
debat,-2873464943861159064
duel,-6831991213728204722
never,7108337918567587628
happen,-1469301007380922428
arrest,3607139154553114988
next,-4411353533106456238
crucifix,-3170642481152454490
1974,-9108903193614265465
jail,1380581111569699412
damag,4937688901050295786
memori,-1002218767946422349
interf,1317486461430927566
remain,-2979173820317104703
though,-5740018016937203233
neither,-5588809832423602427
found,-5461325856003611175
variou,-4352300943656363466
ransack,5639472463504050491
real,6280982655217588590
inde,7046605744241607516
behead,5513898118972920795
day,-4782315498531929792
popular,409540003387359744
occult,2849573909687944668
paranorm,-7153514661568054917
enthusiast,9189537392454344766
ornat,8387678408442619990
paint,-3999350840828092143
roof,5817771755576216865
cobbl,-2084914486256253588
floor,5668770317235425276
leadenhal,-3032831902502236680
market,-7789039524196735011
histor,-6826200230486750560
financi,-1081890970289935081
district,-8612531671653265402
make,1838686506847457314
rather,1561493124746222440
magic,-6985716564370040411
bit,1762546080669060710
shopping—even,2004518585219657781
play,3154161491078576644
star,5137746522871495680
role,-1881818918725804884
harri,2334563756661364856
potter,-7134224169453791784
cover,8896699941337695200
oldest,1193223857933195019
sell,-4270366976679167333
meat,-4469127284720423085
fish,7601380299020368760
far,8502452136840153486
14th,-1125436163120783825
centuri,-799754786517905882
current,6514638669213977063
red,-7853405340370498605
1881,2576702223288606975
made,3863411732097600115
attract,-5050259631135289322
marketplac,-6607164071301767903
featur,-7516109457331305841
time,-4716841249751653314
series—it,-6331368767425132644
exterior,-7988898990097107439
shot,6904795388127064579
diagon,-8577711074703275326
alley,-3988261048958352071
